in:NumberOfDiagonals,in:TrussHeight,out:DefMax,out:Util_1,out:Util_2,out:Util_3,out:Util_4,out:Util_5,out:Util_6,out:Util_7,out:Util_8,out:Util_9,out:Util_10,out:sig-max_1,out:sig-max_2,out:sig-max_3,out:sig-max_4,out:sig-max_5,out:sig-max_6,out:sig-max_7,out:sig-max_8,out:sig-max_9,out:sig-max_10,out:Mass,img
4,1,4.905065,0.196509,0.673809,0.196509,0.626888,0.626888,1.039193,1.039193,0.247305,0.263246,0.263246,7.585738,24.513672,7.585738,14.34848,14.34848,7.874467,7.874467,-4.923797,9.543243,9.543243,2192.326681,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals0_TrussHeight0_Front.png
6,1,4.307788,0.137927,0.545825,0.545825,0.137927,0.359209,0.359209,0.538385,0.834605,0.538385,0.227112,5.368644,19.741229,19.741229,5.368644,4.671037,4.671037,0.591908,-5.347829,0.591908,-5.984026,2221.449945,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals2_TrussHeight0_Front.png
8,1,3.883376,0.109045,0.452529,0.582981,0.452529,0.109045,0.268709,0.268709,0.366355,0.695479,0.695479,4.260076,16.314594,21.05145,16.314594,4.260076,1.352989,1.352989,-1.144956,-7.073114,-7.073114,2260.407636,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals4_TrussHeight0_Front.png
10,1,3.847581,0.095077,0.384324,0.558172,0.558172,0.384324,0.095077,0.227212,0.227212,0.280528,0.59406,3.723132,13.838189,20.111353,20.111353,13.838189,3.723132,-0.175246,-0.175246,-1.603152,-7.091605,2307.818827,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals6_TrussHeight0_Front.png
12,1,3.795714,0.08833,0.335708,0.518221,0.581948,0.518221,0.335708,0.08833,0.205813,0.205813,0.230698,3.464319,12.193906,18.679386,20.978617,18.679386,12.193906,3.464319,-0.969574,-0.969574,-1.637731,2362.327696,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals8_TrussHeight0_Front.png
14,1,3.809494,0.085636,0.299016,0.480329,0.573532,0.573532,0.480329,0.299016,0.085636,0.201965,0.201965,3.36229,10.92575,17.486544,20.659412,20.659412,17.486544,10.92575,3.36229,-1.28185,-1.28185,2422.708803,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals10_TrussHeight0_Front.png
16,1,3.833553,0.08532,0.270548,0.446072,0.554218,0.589711,0.554218,0.446072,0.270548,0.08532,0.202395,3.352374,9.915146,16.344964,19.953559,21.245616,19.953559,16.344964,9.915146,3.352374,-1.267975,2487.911307,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals12_TrussHeight0_Front.png
18,1,3.871751,0.086461,0.247905,0.416158,0.531778,0.588814,0.588814,0.531778,0.416158,0.247905,0.086461,3.398963,9.097249,15.319611,19.219637,21.203813,21.203813,19.219637,15.319611,9.097249,3.398963,2557.063028,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals14_TrussHeight0_Front.png
20,1,3.91534,0.088522,0.229515,0.390231,0.509096,0.579255,0.602822,0.579255,0.509096,0.390231,0.229515,3.481199,8.426828,14.413937,18.470632,20.853466,21.711851,20.853466,18.470632,14.413937,8.426828,2629.45378,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals16_TrussHeight0_Front.png
4,1.1,4.290399,0.179211,0.615479,0.179211,0.613834,0.613834,0.980215,0.980215,0.233626,0.250563,0.250563,6.928118,22.413778,6.928118,13.783487,13.783487,8.15727,8.15727,-4.489044,9.087097,9.087097,2206.527748,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals0_TrussHeight1_Front.png
6,1.1,3.673639,0.12609,0.494982,0.494982,0.12609,0.352312,0.352312,0.505559,0.759882,0.505559,0.21344,4.914821,17.920262,17.920262,4.914821,4.324796,4.324796,0.922255,-5.088391,0.922255,-5.554875,2241.392549,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals2_TrussHeight1_Front.png
